"Subject","Activity","tBodyAccMag.mean","tGravityAccMag.mean","tBodyAccJerkMag.mean","tBodyGyroMag.mean","tBodyGyroJerkMag.mean","fBodyAccMag.mean","fBodyAccMag.meanFreq","fBodyBodyAccJerkMag.mean","fBodyBodyAccJerkMag.meanFreq","fBodyBodyGyroMag.mean","fBodyBodyGyroMag.meanFreq","fBodyBodyGyroJerkMag.mean","fBodyBodyGyroJerkMag.meanFreq","tBodyAccMag.std","tGravityAccMag.std","tBodyAccJerkMag.std","tBodyGyroMag.std","tBodyGyroJerkMag.std","fBodyAccMag.std","fBodyBodyAccJerkMag.std","fBodyBodyGyroMag.std","fBodyBodyGyroJerkMag.std"
1,"LAYING",-0.8419291525,-0.8419291525,-0.9543962646,-0.874759548,-0.96346103,-0.8617676481,0.08640856294,-0.9333003608,0.26639115416,-0.8621901854,-0.1397750127,-0.9423669466,0.17648590708,-0.79514486386,-0.79514486386,-0.9282456284,-0.81901016976,-0.9358409828,-0.7983009404,-0.9218039756,-0.82431943968,-0.9326606676
1,"SITTING",-0.948536786170213,-0.948536786170213,-0.987364195531915,-0.93089249,-0.991976341276596,-0.947782922553192,0.236655011680851,-0.985262126808511,0.351852201957447,-0.958435589361702,-0.000262186717021277,-0.989797547234043,0.184775928085106,-0.927078418723404,-0.927078418723404,-0.984120024042553,-0.934531840425532,-0.988308728510638,-0.928444801702128,-0.981606177446808,-0.932198374893617,-0.987049617234043
1,"STANDING",-0.984278207358491,-0.984278207358491,-0.992367790566038,-0.976493792830189,-0.994966790566038,-0.985356361132075,0.284555290773585,-0.99254247754717,0.422220102264151,-0.984617623396226,-0.0286057725328302,-0.994815376981132,0.334498734301887,-0.981942928867925,-0.981942928867925,-0.993096209433962,-0.978690028679245,-0.994733238679245,-0.982313804716981,-0.992536003396226,-0.978466072075472,-0.994671123207547
1,"WALKING",-0.136971176556842,-0.136971176556842,-0.141428809031579,-0.160979552536842,-0.298703679084211,-0.128623450629474,0.1906437244,-0.0571194000343158,0.0938221807027368,-0.199252568986316,0.268844367525895,-0.319308593778947,0.190663448793684,-0.219688645631579,-0.219688645631579,-0.0744717500625263,-0.186978364526316,-0.325324878894737,-0.398032586842105,-0.103492403002105,-0.321017953894737,-0.381601911789474
1,"WALKING_DOWNSTAIRS",0.0271882914106122,0.0271882914106122,-0.0894474807979592,-0.0757412543673469,-0.295463843346939,0.0965845343040816,0.119187142767959,0.0262184949326531,0.0764915474326531,-0.185720285744898,0.349613895469388,-0.281963359177551,0.190000706165102,0.0198843506265306,0.0198843506265306,-0.0257877197081633,-0.225724368061224,-0.306510645530612,-0.186530301073469,-0.104052260726531,-0.398350390122449,-0.391919876612245
1,"WALKING_UPSTAIRS",-0.129927630735849,-0.129927630735849,-0.466503446226415,-0.126735589969811,-0.59488286509434,-0.352395944716981,-0.0977433496415094,-0.44265216245283,0.085352409154717,-0.325961457396226,-0.219303376110566,-0.634665082075472,0.114277342454717,-0.324970929245283,-0.324970929245283,-0.478991622075472,-0.14861931805283,-0.648553044339623,-0.416260101509434,-0.533059853773585,-0.182985518264151,-0.693930521509434
2,"LAYING",-0.977435485208333,-0.977435485208333,-0.987741696041667,-0.950011569583333,-0.991767074166667,-0.975110196458333,0.2662982125,-0.985374114791667,0.3417585745,-0.972112972708333,0.01856447223125,-0.990248702291667,0.264801505395833,-0.972873912916667,-0.972873912916667,-0.98551807625,-0.961164053958333,-0.989718095208333,-0.975121387916667,-0.984568489166667,-0.96109837875,-0.989492660416667
2,"SITTING",-0.967893623913043,-0.967893623913043,-0.986774713043478,-0.946035087173913,-0.991081493913043,-0.96127374826087,0.130934202854348,-0.983874698913043,0.280062423956522,-0.971840596086956,-0.106358909173913,-0.989861950869565,0.1947221493,-0.953081444130435,-0.953081444130435,-0.984475868043478,-0.961313624130435,-0.989594919565217,-0.955575602173913,-0.984124185869565,-0.961385745217391,-0.989632908913043
2,"STANDING",-0.965875181296296,-0.965875181296296,-0.980489077407407,-0.963466341851852,-0.983951904259259,-0.964052166481482,0.119649963903704,-0.977065295555556,0.304871865218519,-0.961775904814815,-0.0661266045796296,-0.977849827407407,0.160662823925926,-0.957874965,-0.957874965,-0.976675280185185,-0.95394338037037,-0.977204427777778,-0.960519381481482,-0.97516046,-0.956788725740741,-0.977754298148148
2,"WALKING",-0.290407593728814,-0.290407593728814,-0.281424153881356,-0.446549092881356,-0.547911950338983,-0.324289427932203,0.393206208305085,-0.169064352813559,0.20750092670339,-0.530704814745763,0.305283825254237,-0.583249293389831,0.126344614439492,-0.422544169322034,-0.422544169322034,-0.164150985127119,-0.553019916271186,-0.557798151355932,-0.577105211694915,-0.164091969449153,-0.651792839661017,-0.558104554745763
